	CO_ANO	CO_MES	SH4	CO_PAIS	SG_UF_MUN	CO_MUN	KG_LIQUIDO	VL_FOB	VALOR AGREGADO
1	2023.0	11.0	4009.0	493.0	SP	3456701.0	473.0	14008.0	29.61522198731501
2	2023.0	11.0	8536.0	365.0	SP	3438709.0	2.0	181.0	90.5
5	2023.0	6.0	8421.0	63.0	SP	3450308.0	6002.0	131714.0	21.945018327224258
6	2023.0	4.0	9403.0	586.0	SP	3447304.0	70.0	264.0	3.7714285714285714
9	2023.0	6.0	8419.0	158.0	SP	3409502.0	44.0	4456.0	101.27272727272727
12	2023.0	9.0	3305.0	820.0	SP	3456701.0	372.0	8184.0	22.0
16	2023.0	12.0	8471.0	249.0	SP	3450308.0	1473.0	4741262.0	3218.7793618465716
17	2023.0	9.0	3305.0	59.0	SP	3450308.0	60.0	604.0	10.066666666666666
18	2023.0	1.0	4820.0	158.0	SP	3452403.0	116.0	6344.0	54.689655172413794
20	2023.0	10.0	9032.0	845.0	SP	3452403.0	2.0	1803.0	901.5
21	2023.0	8.0	8409.0	158.0	SP	3452205.0	287.0	15884.0	55.34494773519164
23	2023.0	8.0	8708.0	847.0	SP	3413801.0	1794.0	53398.0	29.764771460423635
24	2023.0	10.0	3906.0	317.0	SP	3409502.0	7680.0	32936.0	4.288541666666666
25	2023.0	11.0	2836.0	476.0	SP	3448500.0	13.0	44.0	3.3846153846153846
27	2023.0	8.0	2106.0	580.0	SP	3448500.0	614.0	4920.0	8.013029315960912
28	2023.0	8.0	7616.0	63.0	SP	3425904.0	16987.0	166199.0	9.783893565667864
30	2023.0	12.0	3925.0	845.0	SP	3413801.0	614.0	24125.0	39.29153094462541
31	2023.0	6.0	801.0	434.0	SP	3448500.0	97.0	601.0	6.195876288659794
32	2023.0	12.0	8708.0	521.0	SP	3426902.0	1737.0	19702.0	11.342544617156015
33	2023.0	8.0	8466.0	493.0	SP	3443907.0	102.0	14800.0	145.09803921568627
36	2023.0	9.0	3919.0	77.0	SP	3448500.0	24.0	342.0	14.25
40	2023.0	9.0	8438.0	245.0	SP	3450308.0	62.0	5256.0	84.7741935483871
44	2023.0	1.0	3906.0	158.0	SP	3403208.0	11000.0	27763.0	2.523909090909091
47	2023.0	2.0	207.0	476.0	SP	3448500.0	4275.0	13264.0	3.1026900584795323
50	2023.0	9.0	8421.0	158.0	SP	3405708.0	4692.0	39080.0	8.329070758738277
51	2023.0	5.0	8305.0	434.0	SP	3448500.0	11.0	277.0	25.181818181818183
60	2023.0	6.0	7318.0	158.0	SP	3418800.0	3.0	275.0	91.66666666666667
64	2023.0	3.0	3305.0	69.0	SP	3434401.0	15.0	949.0	63.266666666666666
69	2023.0	7.0	702.0	580.0	SP	3448500.0	1332.0	3700.0	2.7777777777777777
72	2023.0	7.0	8608.0	169.0	SP	3450308.0	1070.0	15721.0	14.69252336448598
74	2023.0	9.0	4010.0	493.0	SP	3456701.0	237.0	25819.0	108.94092827004219
77	2023.0	9.0	8419.0	97.0	SP	3423107.0	293.0	5324.0	18.170648464163822
82	2023.0	4.0	1502.0	383.0	SP	3425706.0	8339.0	6672.0	0.8000959347643603
89	2023.0	7.0	8708.0	239.0	SP	3456701.0	4572.0	102625.0	22.446412948381454
94	2023.0	1.0	7007.0	586.0	SP	3452403.0	104.0	1232.0	11.846153846153847
95	2023.0	2.0	6204.0	275.0	SP	3413009.0	96.0	18716.0	194.95833333333334
98	2023.0	4.0	8421.0	239.0	SP	3425904.0	52.0	4098.0	78.8076923076923
102	2023.0	1.0	2004.0	63.0	SP	3450308.0	28826.0	49516.0	1.7177548046902102
110	2023.0	7.0	8517.0	845.0	SP	3413801.0	1.0	2212.0	2212.0
111	2023.0	9.0	2710.0	434.0	SP	3450308.0	623.0	2165.0	3.475120385232745
112	2023.0	2.0	901.0	249.0	SP	3450308.0	20490.0	291702.0	14.236310395314788
117	2023.0	9.0	9025.0	63.0	SP	3440606.0	1.0	15.0	15.0
118	2023.0	9.0	3402.0	467.0	SP	3448500.0	145.0	347.0	2.393103448275862
122	2023.0	12.0	3401.0	77.0	SP	3448500.0	55.0	326.0	5.927272727272728
123	2023.0	4.0	8413.0	249.0	SP	3418800.0	22.0	4485.0	203.86363636363637
124	2023.0	8.0	8487.0	163.0	SP	3448500.0	1.0	7.0	7.0
125	2023.0	9.0	3402.0	158.0	SP	3452403.0	101.0	434.0	4.297029702970297
129	2023.0	10.0	8302.0	776.0	SP	3452205.0	16.0	331.0	20.6875
132	2023.0	11.0	8536.0	589.0	SP	3456701.0	86.0	11396.0	132.51162790697674
133	2023.0	4.0	9025.0	361.0	SP	3452205.0	1.0	196.0	196.0
137	2023.0	5.0	2929.0	589.0	SP	3405708.0	9560.0	41218.0	4.311506276150627
138	2023.0	10.0	3506.0	476.0	SP	3448500.0	78.0	918.0	11.76923076923077
139	2023.0	7.0	8512.0	586.0	SP	3409502.0	280.0	10263.0	36.65357142857143
140	2023.0	2.0	3301.0	573.0	SP	3422703.0	38000.0	425850.0	11.20657894736842
141	2023.0	10.0	8483.0	647.0	SP	3456701.0	9.0	1353.0	150.33333333333334
142	2023.0	9.0	1804.0	63.0	SP	3444004.0	3000.0	15000.0	5.0
148	2023.0	11.0	3908.0	63.0	SP	3445803.0	40500.0	229560.0	5.668148148148148
156	2023.0	3.0	710.0	580.0	SP	3448500.0	2502.0	4781.0	1.9108713029576339
163	2023.0	3.0	8482.0	196.0	SP	3452205.0	18.0	827.0	45.94444444444444
164	2023.0	12.0	3911.0	455.0	SP	3447809.0	15000.0	30424.0	2.0282666666666667
165	2023.0	3.0	1101.0	467.0	SP	3448500.0	510.0	556.0	1.0901960784313725
